,Author_name,Article_title,Publish_date,description,Article_links
21,"<div id=""gsc_prf_in"">Ellah Zingani</div>","In the 21st century, several healthcare challenges are evident. It is estimated that the growing world population may overwhelm any efforts to create a sustainable future. In addition, an interconnected world created by global economic changes promotes migration across international borders. These phenomena may cause unexpected human health issues such as global warming, health disparities, or increasing prevalence of infections1-2). Global partnerships among healthcare professionals must be formed to overcome the challenges3), and intercultural communication competence is required for qualified healthcare performance at any level of deciding-making. Nursing, the largest workforce in the world, has broadened its job category range, from caring for patients in the hospital setting to functioning as healthcare executives or medical consultants4). This might be associated with the new doctoral education system for advanced nursing practice developed by the American Association of Colleges of Nursing5). In Japan, the reform of basic nursing education from training schools to four-year university programs was encouraged by the Japanese Nursing Association and the Ministry of Education, Culture, Sports, Science and Technology to provide highly qualified nurses6). However, Japanese nurses may be underutilized globally because Japanese and American reforms have not yet been included in many countries’ standard nursing education curricula4).",2015,"In the 21st century, several healthcare challenges are evident. It is estimated that the growing world population may overwhelm any efforts to create a sustainable future. In addition, an interconnected world created by global economic changes promotes migration across international borders. These phenomena may cause unexpected human health issues such as global warming, health disparities, or increasing prevalence of infections1-2). Global partnerships among healthcare professionals must be formed to overcome the challenges3), and intercultural communication competence is required for qualified healthcare performance at any level of deciding-making. Nursing, the largest workforce in the world, has broadened its job category range, from caring for patients in the hospital setting to functioning as healthcare executives or medical consultants4). This might be associated with the new doctoral education system for advanced nursing practice developed by the American Association of Colleges of Nursing5). In Japan, the reform of basic nursing education from training schools to four-year university programs was encouraged by the Japanese Nursing Association and the Ministry of Education, Culture, Sports, Science and Technology to provide highly qualified nurses6). However, Japanese nurses may be underutilized globally because Japanese and American reforms have not yet been included in many countries’ standard nursing education curricula4). ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=93tHOe4AAAAJ&citation_for_view=93tHOe4AAAAJ:u5HHmVD_uO8C
22,"<div id=""gsc_prf_in"">Ellah Zingani</div>",保健医療支援のための異文化交流能力を学習する日本人看護学生へのサハラ砂漠以南の国際フィールドワークプログラム An international fieldwork program in Sub-Saharan Africa for Japanese nursing students to learn intercultural competence for healthcare support,2014,保健医療支援のための異文化交流能力を学習する日本人看護学生へのサハラ砂漠以南の国際フィールドワークプログラム An international fieldwork program in Sub-Saharan Africa for Japanese nursing students to learn intercultural competence for healthcare support ,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=93tHOe4AAAAJ&citation_for_view=93tHOe4AAAAJ:9yKSN-GCB0IC
23,"<div id=""gsc_prf_in"">Ellah Zingani</div>","Results. Although basic infrastructure necessary for monitoring antimalarial drug resistance (such as laboratory, dispensary, admission ward, database unit, administration offices, bed space, examination and emergency rooms) was present at all sites, there was a shortage of licensed healthcare personnel. At some sites, antimalarial drugs were prescribed for malaria-like symptoms without diagnostic confirmation by blood smear. There was no regular monitoring of antimalarial drug resistance: only one trial was conducted among all sites in the previous 24 months. Conclusion. A lack of antimalarial drug resistance monitoring might be associated with personnel and funding shortages. Additional financial support would be necessary to avoid the development and spread of drug-resistant malaria in Zambia.",,"Background. Sub-Saharan countries have experienced centuries of high morbidity and mortality due to malaria. In addition to insecticide-treated mosquito nets and indoor residual spraying, modern antimalarial medicines have been developed to reduce disease prevalence, although the emergence of drug-resistant strains has compromised their efficacy. The purpose of this study was to evaluate the current status of malaria diagnosis and treatment, and to monitor the therapeutic efficacy of antimalarial drugs. Materials and Methods. A descriptive cross-sectional survey was conducted from 2011 to 2013 at 10 district hospitals in Zambia designated as malaria sentinel sites as well as at the National Malaria Control Centre. District medical officers at each site completed interview questionnaires. Results. Although basic infrastructure necessary for monitoring antimalarial drug resistance (such as laboratory, dispensary, admission ward, database unit, administration offices, bed space, examination and emergency rooms) was present at all sites, there was a shortage of licensed healthcare personnel. At some sites, antimalarial drugs were prescribed for malaria-like symptoms without diagnostic confirmation by blood smear. There was no regular monitoring of antimalarial drug resistance: only one trial was conducted among all sites in the previous 24 months. Conclusion. A lack of antimalarial drug resistance monitoring might be associated with personnel and funding shortages. Additional financial support would be necessary to avoid the development and spread of drug-resistant malaria in Zambia. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=93tHOe4AAAAJ&citation_for_view=93tHOe4AAAAJ:qjMakFHDy7sC
24,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>","The Government of the Republic Zambia (GRZ) will install a new hydropower station Kafue Gorge Lower downstream of the existing Kafue Gorge Station (KGS) and plans to start operating the Itezhi-Tezhi (ITT) hydropower facility in the Kafue Basin. The Basin has significant biodiversity hot spots such as the Luangwa National park and Kafue Flats. It is described as a Man-Biosphere reserve and the National Park is a designated World Heritage Site hosting a variety of wildlife species. All these natural reserves demand special protection, and environmental flow requirements (e-flows) have been identified as a necessary need to preserve these ecosystems. Implementation of e-flows is therefore a priority as Zambia considers to install more hydropower facilities. However before allocation of e-flows, it is necessary to first assess the river flow available for allocation at existing hydropower stations in the Kafue Basin …",2017,"The Government of the Republic Zambia (GRZ) will install a new hydropower station Kafue Gorge Lower downstream of the existing Kafue Gorge Station (KGS) and plans to start operating the Itezhi-Tezhi (ITT) hydropower facility in the Kafue Basin. The Basin has significant biodiversity hot spots such as the Luangwa National park and Kafue Flats. It is described as a Man-Biosphere reserve and the National Park is a designated World Heritage Site hosting a variety of wildlife species. All these natural reserves demand special protection, and environmental flow requirements (e-flows) have been identified as a necessary need to preserve these ecosystems. Implementation of e-flows is therefore a priority as Zambia considers to install more hydropower facilities. However before allocation of e-flows, it is necessary to first assess the river flow available for allocation at existing hydropower stations in the Kafue Basin … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:d1gkVwhDpl0C
25,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>","Lusaka, the capital city of Zambia, has two million inhabitants with 70% residing in peri-urban areas. Ninety (90)% of this population employ pit latrines for excretion generating approximately 22,680 tons of faecal sludge per annum. This sludge is inadequately managed hence of the generated amount, over 60% remains within the residential environment thereby compromising both the environment and public health. To foster a solution to this problem, a study was commissioned to assess faecal sludge valorisation potential and how it would impact on Faecal Sludge Management. The study evaluated policy, institutional and regulatory frameworks, sanitation practices including latrine construction and usage aspects and also characterised the faecal sludge for selected parameters relevant to valorisation. Four peri-urban areas were adopted as study sites. Policy issues together with existing institutional and …",2017,"Lusaka, the capital city of Zambia, has two million inhabitants with 70% residing in peri-urban areas. Ninety (90)% of this population employ pit latrines for excretion generating approximately 22,680 tons of faecal sludge per annum. This sludge is inadequately managed hence of the generated amount, over 60% remains within the residential environment thereby compromising both the environment and public health. To foster a solution to this problem, a study was commissioned to assess faecal sludge valorisation potential and how it would impact on Faecal Sludge Management. The study evaluated policy, institutional and regulatory frameworks, sanitation practices including latrine construction and usage aspects and also characterised the faecal sludge for selected parameters relevant to valorisation. Four peri-urban areas were adopted as study sites. Policy issues together with existing institutional and … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:UeHWp8X0CEIC
26,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>","The difference in the concentration of dissolved radon (222Rn) in drinking water from wells and streams around Lumwana area in Zambia remains of interest because of the radiation-induced public health hazards. A total of nine (09) communities around Lumwana mine were selected for this study because their sources of drinking water are wells and streams. The underlying geology of this area is predominantly high grade, metamorphosed, intensely mylonitised, recrystallised muscovite–phlogopite–quartz–kyanite schists with disseminated sulphides (typically< 5%), dominated by chalcopyrite and bornite with known elevated concentrations of uranium, which ultimately decays to radon gas. The main aim of this paper is to estimate the contribution of (222Rn) to public exposure due to natural radioactivity in drinking water. The concentration of radon levels in the collected water samples was analyzed using an Alpha Spectrometer called RTM (radon thoron monitor 2200) and the average results were found to vary from 4.44 Bq/L to 32.13 Bq/L. The obtained values are lower than the WHO (world health organization) recommended guidelines for drinking-water quality value of 100 Bq/L. The annual effective dose for the adults in these communities were in the range of 16.21 to 117.28 µSv/a slightly above the WHO recommended guideline reference dose level of 100 µSv/a.",2017,"The difference in the concentration of dissolved radon (222Rn) in drinking water from wells and streams around Lumwana area in Zambia remains of interest because of the radiation-induced public health hazards. A total of nine (09) communities around Lumwana mine were selected for this study because their sources of drinking water are wells and streams. The underlying geology of this area is predominantly high grade, metamorphosed, intensely mylonitised, recrystallised muscovite–phlogopite–quartz–kyanite schists with disseminated sulphides (typically< 5%), dominated by chalcopyrite and bornite with known elevated concentrations of uranium, which ultimately decays to radon gas. The main aim of this paper is to estimate the contribution of (222Rn) to public exposure due to natural radioactivity in drinking water. The concentration of radon levels in the collected water samples was analyzed using an Alpha Spectrometer called RTM (radon thoron monitor 2200) and the average results were found to vary from 4.44 Bq/L to 32.13 Bq/L. The obtained values are lower than the WHO (world health organization) recommended guidelines for drinking-water quality value of 100 Bq/L. The annual effective dose for the adults in these communities were in the range of 16.21 to 117.28 µSv/a slightly above the WHO recommended guideline reference dose level of 100 µSv/a. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:zYLM7Y9cAGgC
27,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>",Urban growth analysis for Lusaka City using Remote Sensing and GIS,2015,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:u-x6o8ySG0sC
28,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>",A Time-Dependent Green Element Method for Potential Flow Study in 3-D,2012,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:IjCSPb-OGe4C
29,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>","Edwin Nyirenda and Akpofure Taigbenu School of Civil and Environmental Engineering, University of the Witwatersrand. P. Bag 3, Johannesburg, WITS 2050. South Africa. Email: akpofure. taigbenu@ wits. ac. za",2010,"Edwin Nyirenda and Akpofure Taigbenu School of Civil and Environmental Engineering, University of the Witwatersrand. P. Bag 3, Johannesburg, WITS 2050. South Africa. Email: akpofure. taigbenu@ wits. ac. za ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:u5HHmVD_uO8C
30,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>",A time-dependent green element formulation for solution of potential flow problems in 3 dimensional domains,2010,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:2osOgNQ5qMEC
31,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>","This revisit of the stream-aquifer problem is based on a recent flux-based Green element formulation which offers more accurate solutions than previous formulations presented in Taigbenu (2003). Its accuracy also surpasses those provided by finite element and finite difference methods using grids that are coarser. As in all Green element formulations, the current formulation is predicated on the singular boundary integral theory that is implemented in an element-by-element fashion. What is new in the current formulation is that it calculates the fluxes at all nodes and not only at external nodes. While this approach exhibits much improved accuracy, its drawback lies with handling an increased number of unknowns. This drawback is, however, compensated for by the fewer elements required to achieve accuracies comparable to other conventional numerical methods. In this paper, it is demonstrated that with between 20% and 30% of elements used in finite element and finite difference models, comparable accuracy is achieved with this formulation. The main significance of the current computational technique is that it preserves the flux calculations in a manner that is consistent with the stream-aquifer interaction problem.",2010,"This revisit of the stream-aquifer problem is based on a recent flux-based Green element formulation which offers more accurate solutions than previous formulations presented in Taigbenu (2003). Its accuracy also surpasses those provided by finite element and finite difference methods using grids that are coarser. As in all Green element formulations, the current formulation is predicated on the singular boundary integral theory that is implemented in an element-by-element fashion. What is new in the current formulation is that it calculates the fluxes at all nodes and not only at external nodes. While this approach exhibits much improved accuracy, its drawback lies with handling an increased number of unknowns. This drawback is, however, compensated for by the fewer elements required to achieve accuracies comparable to other conventional numerical methods. In this paper, it is demonstrated that with between 20% and 30% of elements used in finite element and finite difference models, comparable accuracy is achieved with this formulation. The main significance of the current computational technique is that it preserves the flux calculations in a manner that is consistent with the stream-aquifer interaction problem. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:9yKSN-GCB0IC
32,"<div id=""gsc_prf_in"">Edwin Nyirenda</div>",Water balance of the upper Pecos River basin,1987,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=QE8Pi9UAAAAJ&citation_for_view=QE8Pi9UAAAAJ:qjMakFHDy7sC
33,"<div id=""gsc_prf_in"">Chileshe Mwaba</div>",Common Trunk Origin of the Brachiocephalic and Left common carotid arteries from the Aortic Arch,2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mr2u-WsAAAAJ&citation_for_view=mr2u-WsAAAAJ:UeHWp8X0CEIC
34,"<div id=""gsc_prf_in"">Chileshe Mwaba</div>","In March 2014, the World Health Organization (WHO) was notified of an outbreak of Ebola virus disease (EVD) in West Africa. This has turned out to be the largest and most heartbreaking epidemic since the first outbreaks recorded in 1976. There are several reasons that have made the control of this outbreak difficult. Broken down health systems, slow response, poverty, poor sanitation and local traditions such as kissing and washing of the dead top the list of challenges that complicated the control of the out-break. Unfortunately, these challenges are not limited to the three countries (Liberia, Sierra Leone and Guinea Conakry) most hit by Ebola virus disease but cut across many health systems in sub-Saharan Africa. The epidemic has not only highlighted the health challenges faced by many poor countries in sub-Saharan Africa but serves as an urgent call to overhaul the weak health systems. This article reviews the status of health systems in sub-Saharan Africa and provides possible suggestions to improve responses to future outbreaks of EVD and other infectious diseases.",2015,"In March 2014, the World Health Organization (WHO) was notified of an outbreak of Ebola virus disease (EVD) in West Africa. This has turned out to be the largest and most heartbreaking epidemic since the first outbreaks recorded in 1976. There are several reasons that have made the control of this outbreak difficult. Broken down health systems, slow response, poverty, poor sanitation and local traditions such as kissing and washing of the dead top the list of challenges that complicated the control of the out-break. Unfortunately, these challenges are not limited to the three countries (Liberia, Sierra Leone and Guinea Conakry) most hit by Ebola virus disease but cut across many health systems in sub-Saharan Africa. The epidemic has not only highlighted the health challenges faced by many poor countries in sub-Saharan Africa but serves as an urgent call to overhaul the weak health systems. This article reviews the status of health systems in sub-Saharan Africa and provides possible suggestions to improve responses to future outbreaks of EVD and other infectious diseases. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mr2u-WsAAAAJ&citation_for_view=mr2u-WsAAAAJ:9yKSN-GCB0IC
35,"<div id=""gsc_prf_in"">Chileshe Mwaba</div>","Nursing is a practical profession where nurses take care of patients in their critical phases of life (Saariskoski, 2003). According to International Council of Nursing (ICN),(2007), nursing encompasses autonomous and collaborative care of individuals of all ages, families, groups and communities, sick or well and in all settings. Nurses are trained theoretically and practically so that they are able to relate the theory into practice. Practical placement for student nurses is something they look forward to so that they are able to care for the patients entrusted to them. One of the methods employed in most colleges and Universities to teach student nurses on the practical area is mentorship. In some countries, for example England their Nursing and Midwifery council has made mentorship mandatory, Nursing and Midwifery Council,(NMC),(2007). This write-up is about mentorship in nursing training during practical placement. The write-up describes the concept of mentorship in nursing practical placement for nurses. There’sa brief description of the author’s practical placement in Norway and a statement of the current human resource problem in the health sector in Zambia. The analysis highlights the advantages and disadvantages of mentorship. And discuses mentorship in the Zambian settings considering what is on the ground. Can this method of teaching be used in the Zambian setting? When is mentorship more useful for students, the nurses and the teachers? The conclusion summarises the author’s experience and the data available and then lastly are the recommendations.",2009,"Nursing is a practical profession where nurses take care of patients in their critical phases of life (Saariskoski, 2003). According to International Council of Nursing (ICN),(2007), nursing encompasses autonomous and collaborative care of individuals of all ages, families, groups and communities, sick or well and in all settings. Nurses are trained theoretically and practically so that they are able to relate the theory into practice. Practical placement for student nurses is something they look forward to so that they are able to care for the patients entrusted to them. One of the methods employed in most colleges and Universities to teach student nurses on the practical area is mentorship. In some countries, for example England their Nursing and Midwifery council has made mentorship mandatory, Nursing and Midwifery Council,(NMC),(2007). This write-up is about mentorship in nursing training during practical placement. The write-up describes the concept of mentorship in nursing practical placement for nurses. There’sa brief description of the author’s practical placement in Norway and a statement of the current human resource problem in the health sector in Zambia. The analysis highlights the advantages and disadvantages of mentorship. And discuses mentorship in the Zambian settings considering what is on the ground. Can this method of teaching be used in the Zambian setting? When is mentorship more useful for students, the nurses and the teachers? The conclusion summarises the author’s experience and the data available and then lastly are the recommendations. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mr2u-WsAAAAJ&citation_for_view=mr2u-WsAAAAJ:qjMakFHDy7sC
36,"<div id=""gsc_prf_in"">Chileshe Mwaba</div>",use of Research Evidence in Policy and Decision-making: Attitudes and Practices of Health Policy Makers in Lusaka Province of Zambia,2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mr2u-WsAAAAJ&citation_for_view=mr2u-WsAAAAJ:zYLM7Y9cAGgC
37,"<div id=""gsc_prf_in"">Chileshe Mwaba</div>",Accessory Ostia in the Aortic Sinuses in Autopsied in Hearts at the University Teaching Hospital Zambia,2016,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mr2u-WsAAAAJ&citation_for_view=mr2u-WsAAAAJ:IjCSPb-OGe4C
38,"<div id=""gsc_prf_in"">Chileshe Mwaba</div>","The legal frame work for Zambian nursing has undergone amendments with current Act of 1997 which broadened the scope of practice for nursing and midwifery; however by 1999 the curriculum for nursing education had not been reviewed the past 7 to 10 years (General Nursing Council)(GNC),(2002). On the international scene, in the United States of America (USA) Lewis et al (2006), their results have indicated that originally nursing education In USA was based on the behaviourist model of education as learning was conceptualised as a linear systematic process involving assessment of learning needs objectives formulation, content development, delivery to students and evaluation. Emphasise was stressed on goal attainment that must be objectively measured. The authors assume that the …",2010,"Professional nursing education in Zambia started in 1969, when Kitwe school of nursing was opened to train a three year diploma course for state registered nurses. The nursing education system was politically driven, Schuster (1981), in his paper highlighted the fact that the political decision to maintain strict standards of international excellence in curriculum design created problems eg the students‟ individual differences were ignored and were taught as a group leading to an inevitably high failure rate. The other problem was failure in curriculum design to compare, contrast and evaluate western and traditional concepts of illness and healing to examine sub cultural differences in Zambian traditional medical practices. The conceptualisation, planning and development of nursing followed the broad pattern of establishing western institutional structures. The legal frame work for Zambian nursing has undergone amendments with current Act of 1997 which broadened the scope of practice for nursing and midwifery; however by 1999 the curriculum for nursing education had not been reviewed the past 7 to 10 years (General Nursing Council)(GNC),(2002). On the international scene, in the United States of America (USA) Lewis et al (2006), their results have indicated that originally nursing education In USA was based on the behaviourist model of education as learning was conceptualised as a linear systematic process involving assessment of learning needs objectives formulation, content development, delivery to students and evaluation. Emphasise was stressed on goal attainment that must be objectively measured. The authors assume that the … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=mr2u-WsAAAAJ&citation_for_view=mr2u-WsAAAAJ:d1gkVwhDpl0C
39,"<div id=""gsc_prf_in"">Harrison Daka</div>","This article was based on a case study under qualitative research design of post-positivism knowledge generation paradigm. The purpose of the study was to establish the strategies that the Lala people were using to preserve their cultures. The research methodology employed was purely qualitative mode of inquiry. Data was collected from 38 respondents in Serenje District including Chief Chitambo’s community. The specific strategies used to collect data were interviews, focus group discussions with a traditional council ‘Insaka ye Lala’and observation of certain cultural practices.",2018,"This article was based on a case study under qualitative research design of post-positivism knowledge generation paradigm. The purpose of the study was to establish the strategies that the Lala people were using to preserve their cultures. The research methodology employed was purely qualitative mode of inquiry. Data was collected from 38 respondents in Serenje District including Chief Chitambo’s community. The specific strategies used to collect data were interviews, focus group discussions with a traditional council ‘Insaka ye Lala’and observation of certain cultural practices. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rmifX2QAAAAJ&citation_for_view=rmifX2QAAAAJ:qjMakFHDy7sC
40,"<div id=""gsc_prf_in"">Harrison Daka</div>","Course management, Teaching and Assessing Undergraduates at the Medical School of the University of Zambia",2018,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rmifX2QAAAAJ&citation_for_view=rmifX2QAAAAJ:d1gkVwhDpl0C
41,"<div id=""gsc_prf_in"">Harrison Daka</div>",The Use of Social Networks in Curbing HIV in Higher Education Institutions: A Case Study of the University of Zambia,2017,,https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rmifX2QAAAAJ&citation_for_view=rmifX2QAAAAJ:u-x6o8ySG0sC
42,"<div id=""gsc_prf_in"">Harrison Daka</div>",A mixed methods approach involving qualitative and quantitative methods was employed to investigate the above mentioned issues. Anexploratory sequential research design was used for data collection. Data were captured using two related sets of instruments. The first was an evaluation survey instrument on the Teaching and Learning of undergraduate programmes in the School of Medicine and document analysis. The second was a students’ Focus Group Discussion schedule and an in-depth interview schedule for key informants regarding the GPA and examination attritions. Results of the two sets were compared. Quantitative data from the first set were analysed using descriptive and inferential statistics while qualitative data from the second set were analysed using constant comparative method.,,"There has been high examination attrition rates and low student Grade Point Average among undergraduate programmes in the School of Medicine of the University of Zambia. Such a situation was cause for concern and, therefore this study investigated the relationship among course management, teaching approaches and assessment processeson one hand, and high examination attrition rates and low Grade Point Average (GPA) for undergraduate medical students trained at the University of Zambia, School of Medicine, on the other. A mixed methods approach involving qualitative and quantitative methods was employed to investigate the above mentioned issues. Anexploratory sequential research design was used for data collection. Data were captured using two related sets of instruments. The first was an evaluation survey instrument on the Teaching and Learning of undergraduate programmes in the School of Medicine and document analysis. The second was a students’ Focus Group Discussion schedule and an in-depth interview schedule for key informants regarding the GPA and examination attritions. Results of the two sets were compared. Quantitative data from the first set were analysed using descriptive and inferential statistics while qualitative data from the second set were analysed using constant comparative method. ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rmifX2QAAAAJ&citation_for_view=rmifX2QAAAAJ:2osOgNQ5qMEC
43,"<div id=""gsc_prf_in"">Harrison Daka</div>","The research was conducted in the rural parts of northern Zambia in Kaputa and Mporokoso in 2013 between January and April. The research is important in understanding the implications of circumcision as a method of prevention in the quest to achieving zero infection especially among young people in rural Zambia were infection rates are relatively lower at 4% and 4.3% respectively as compared to other urban towns were the infection rate is between 22% and 27%(Kaputa District Health Report, 2012, Mporokoso District Health Report, 2012). The research aimed at ascertaining to what extent young people were willing to go from theory into practice by adopting circumcision as a method of prevention taking into account that in these parts of Zambia, circumcision is not part of their cultural norm. Only young men aged between 18 and 35participated. The total number of participants was hundred. These were randomly selected in the two research sites. Questionnaires and unstructured interviews were used. The responses were analyzed according to the following categories namely; those between 18 and20 and those between 21 and35. The study found that young people, especially those between 18 and 20 were willing to adopt circumcision as one of the methods in HIV prevention whilst the older counterparts were more reluctant. One of the recommendations is that young people be sensitized in schools and colleges as part of reaching zero infection as the research found that more young people are willing to be circumcised that the older ones. Since young people form a large percent of the Zambian population (Central Statistics Office …",,"The research was conducted in the rural parts of northern Zambia in Kaputa and Mporokoso in 2013 between January and April. The research is important in understanding the implications of circumcision as a method of prevention in the quest to achieving zero infection especially among young people in rural Zambia were infection rates are relatively lower at 4% and 4.3% respectively as compared to other urban towns were the infection rate is between 22% and 27%(Kaputa District Health Report, 2012, Mporokoso District Health Report, 2012). The research aimed at ascertaining to what extent young people were willing to go from theory into practice by adopting circumcision as a method of prevention taking into account that in these parts of Zambia, circumcision is not part of their cultural norm. Only young men aged between 18 and 35participated. The total number of participants was hundred. These were randomly selected in the two research sites. Questionnaires and unstructured interviews were used. The responses were analyzed according to the following categories namely; those between 18 and20 and those between 21 and35. The study found that young people, especially those between 18 and 20 were willing to adopt circumcision as one of the methods in HIV prevention whilst the older counterparts were more reluctant. One of the recommendations is that young people be sensitized in schools and colleges as part of reaching zero infection as the research found that more young people are willing to be circumcised that the older ones. Since young people form a large percent of the Zambian population (Central Statistics Office … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=rmifX2QAAAAJ&citation_for_view=rmifX2QAAAAJ:9yKSN-GCB0IC
44,"<div id=""gsc_prf_in"">Christopher Mwanza</div>","Hair matrix could retrospectively record association of endogenous cannabinoids (e.g. 2-arachidonoyl glycerol, 2-AG and N-arachidonoyl-ethanolamine, AEA) and glucocorticoids (e.g. cortisol and cortisone) in a myriad of physiological functions. However, depending on the extraction conditions, the spontaneous isomerization of 2-AG to 1-arachidonoylglycerol (1-AG) and the possible rearrangement of O-arachidonoyl ethanolamine (OAEA) to AEA in various sample matrices could be major obstacles encountered in the detection of both 2-AG and AEA. This study aimed to develop a novel method for simultaneous quantification of 2-AG, AEA, cortisol and cortisone in hair. Methanol was used as the incubation solution and an acidic mixture of deionized water and methanol were utilized as mobile phase in order to avert possible rearrangements of both OAEA and 2-AG. The analyses were performed on a high …",2016,"Hair matrix could retrospectively record association of endogenous cannabinoids (e.g. 2-arachidonoyl glycerol, 2-AG and N-arachidonoyl-ethanolamine, AEA) and glucocorticoids (e.g. cortisol and cortisone) in a myriad of physiological functions. However, depending on the extraction conditions, the spontaneous isomerization of 2-AG to 1-arachidonoylglycerol (1-AG) and the possible rearrangement of O-arachidonoyl ethanolamine (OAEA) to AEA in various sample matrices could be major obstacles encountered in the detection of both 2-AG and AEA. This study aimed to develop a novel method for simultaneous quantification of 2-AG, AEA, cortisol and cortisone in hair. Methanol was used as the incubation solution and an acidic mixture of deionized water and methanol were utilized as mobile phase in order to avert possible rearrangements of both OAEA and 2-AG. The analyses were performed on a high … ",https://scholar.google.com/citations?view_op=view_citation&hl=en&oe=ASCII&user=m4TAh10AAAAJ&citation_for_view=m4TAh10AAAAJ:TFP_iSt0sucC
